Test,TestNumber,Display,Trial,TrueValue,Subject,Response
"Veritcal Distance, Aligned",2,2,C,0.9,68,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,69,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,70,0.6
"Veritcal Distance, Aligned",2,2,C,0.9,71,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,72,0.45
"Veritcal Distance, Aligned",2,2,C,0.9,73,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,74,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,75,0.95
"Veritcal Distance, Aligned",2,2,C,0.9,76,0.9
"Veritcal Distance, Aligned",2,2,C,0.9,77,0.85
